"0";"";"Polarised modular conglomeration";"http://python.beispiel.programmierenlernen.io/img/1.jpg";"Optio numquam ut accusantium laborum unde assumenda. Ea et totam asperiores fugiat voluptatem vitae. Et provident nam et mollitia."
"1";"";"Cross-group contextually-based middleware";"http://python.beispiel.programmierenlernen.io/img/2.jpg";"Deleniti atque autem et commodi cupiditate cupiditate. Fuga illum quas aliquam velit. Labore dolor fugit quia id odio nam."
"2";"";"De-engineered encompassing structure";"http://python.beispiel.programmierenlernen.io/img/3.jpg";"Assumenda tempora inventore harum cumque voluptatibus sit et. Et omnis et dolore quod voluptas sit a."
"3";"";"Fully-configurable multi-tasking interface";"http://python.beispiel.programmierenlernen.io/img/4.jpg";"Cumque unde officia autem quia at fugit. Sint iure veritatis culpa aut provident aliquam in. Eos eum accusantium quia vel dignissimos nesciunt expedita. Rem aut accusantium et tempore."
"4";"";"Versatile eco-centric core";"http://python.beispiel.programmierenlernen.io/img/5.jpg";"Delectus distinctio quis omnis ut commodi sed. Beatae officia doloribus consequatur dolore. Consectetur impedit quia voluptas et ut. Incidunt rem mollitia fugiat quia corporis quo. Quod possimus ut et neque deserunt."
"5";"";"Optional maximized utilisation";"http://python.beispiel.programmierenlernen.io/img/6.jpg";"Consequatur sit deleniti sunt aut ullam eos. Vel ex ut sunt velit provident corporis consequatur. Ea est dolorum ut atque unde. Quasi itaque nihil pariatur."
"6";"";"Open-architected secondary product";"http://python.beispiel.programmierenlernen.io/img/7.jpg";"Reiciendis dolor quisquam tempora in. Totam ut distinctio vero. Ullam maiores dolor sunt voluptas."
"7";"";"Realigned zerotolerance function";"http://python.beispiel.programmierenlernen.io/img/8.jpg";"Consectetur doloribus sed quia id ex sequi. Accusamus repudiandae esse incidunt sunt minima sapiente quibusdam. Sit eius quasi non eius."
"8";"";"Quality-focused user-facing help-desk";"http://python.beispiel.programmierenlernen.io/img/9.jpg";"Dolores ipsum tempore quae non corporis neque saepe. Nesciunt ipsam architecto et est. Illo fugit totam molestiae cumque consequatur. Qui veritatis necessitatibus repellendus."
"9";"";"Proactive user-facing opensystem";"http://python.beispiel.programmierenlernen.io/img/10.jpg";"Quo recusandae iusto rem officia. Voluptatum placeat omnis nulla eum commodi iusto impedit. Alias qui a beatae commodi ducimus. Quo commodi nemo mollitia quaerat molestiae voluptate animi."
"10";"";"Decentralized holistic moderator";"http://python.beispiel.programmierenlernen.io/img/11.jpg";"Et autem voluptas nemo ab non. A error porro est facilis. Amet soluta quasi unde voluptas id magni."
"11";"";"Mandatory tangible application";"http://python.beispiel.programmierenlernen.io/img/12.jpg";"Veniam neque perferendis dolor officia. Quis praesentium et et qui. Esse dicta asperiores doloremque eum facere odio quia. Voluptates odit et officia cumque aut velit quam."
